geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,38.63295,38.4659,38.30412,38.10251,37.83543,37.62343,37.40818,37.17764,36.93018,36.64641,36.36347,35.7367,35.36269,34.73638,34.25307,33.71913,33.32548,32.74672,31.89563,30.97911,30.02701,29.14985,28.03844,26.74088,25.60713,24.80491,23.81752,22.72965,21.88228,21.42342,20.93171,20.2456,19.81825
ago,Angola,18.65864,18.66072,18.55275,18.2091,18.08277,17.88645,17.77264,17.42584,16.69077,16.28159,15.89213,15.81723,15.26903,14.60448,13.81544,13.26671,12.57981,12.1273,12.06922,11.3755,10.81137,8.68055,6.92563,5.52302,5.37629,5.16258,4.9741,4.77366,4.60826,4.60459,4.32488,4.1786,4.08713
alb,Albania,29.33693,29.1301,28.84299,28.48214,28.03965,27.89766,27.41954,26.90032,26.23635,25.56361,24.868,24.19397,23.38227,23.08194,23.04244,22.55292,20.78379,29.81198,28.08205,26.39027,31.40855,36.27365,33.76401,31.90103,29.69488,23.75991,20.04543,21.48674,22.02836,21.62611,20.13853,21.53465,20.91536
are,United Arab Emirates,0.0164,0.01625,0.01591,0.01566,0.01535,0.01523,0.01521,0.0147,0.01495,0.01559,0.01531,0.01533,0.01573,0.01635,0.01709,0.01982,0.02211,0.02669,0.02587,0.02687,0.02815,0.02626,0.02397,0.02107,0.02213,0.01427,0.07658,0.46638,0.83346,0.45178,0.2137,0.428,0.38014
arg,Argentina,1.6259,1.55142,1.55302,1.4972,1.40935,1.66633,1.54236,1.32611,1.35489,1.1541,1.09187,1.11375,1.65855,1.30797,1.02594,0.99051,0.94433,0.71905,0.7227,0.78411,0.71905,0.55003,0.53926,0.58023,0.57449,0.58447,0.58722,0.5464,0.56085,0.58768,0.53965,0.46351,0.33216
arm,Armenia,0.49988,0.50561,0.51321,0.51684,0.51719,0.51591,0.51226,0.5069,0.49973,0.49238,0.4825,0.47018,0.45613,0.44092,0.42477,0.40602,0.38579,0.36547,0.34901,0.3369,0.32302,0.30733,0.29011,0.27742,0.26058,0.23043,0.20988,0.24195,0.10372,0.06665,0.10392,0.13079,0.11409
aus,Australia,0.68429,0.68429,0.6843,0.68429,0.6843,0.6843,0.6843,0.6843,0.68429,0.6843,0.6843,0.68429,0.68429,0.73376,0.48838,0.46454,0.42514,0.29372,0.30001,0.38144,0.27283,0.39029,0.3707,0.31781,0.36877,0.34704,0.26792,0.28387,0.25491,0.17471,0.2301,0.21609,0.20942
aut,Austria,7.00478,6.89455,6.89772,6.41922,6.48337,6.62563,6.08185,5.82423,5.81259,5.74176,5.59491,5.55625,5.11106,4.13804,4.4978,4.55751,5.46356,5.42432,5.3017,5.26986,5.13132,5.03863,4.95618,5.1281,4.72267,4.62178,4.57576,4.35,4.19132,4.32023,4.26598,4.29613,4.39141
aze,Azerbaijan,38.14534,38.18836,38.39189,38.61446,38.80253,38.93224,38.98277,38.93553,38.68963,38.27243,38.59375,38.9871,38.49837,38.03585,37.54943,37.07937,36.55811,36.21193,35.72463,36.01838,36.76857,36.15111,35.36784,35.25311,34.13155,33.40114,32.79916,32.20684,31.83306,30.84783,30.33656,29.89103,29.57489
bdi,Burundi,50.25247,50.09694,49.86476,49.56778,49.39637,49.29082,49.06568,48.75852,48.40614,47.97927,47.04229,46.61844,46.02204,46.18401,45.61831,45.02618,44.34364,43.60758,43.23277,42.66272,42.01555,41.54718,41.17747,40.48424,40.02452,39.65929,39.31822,38.74041,38.13497,37.85612,36.79167,36.21247,35.88594
